SKN,Island,albedo,coastDist,dem_250,lai,rf,tpi,windSpeed,LON,LAT,optional
337.3,MA,3.85458326339722,10384.03515625,2284.86157226562,0.0718768760561943,1134.94641113281,7.72319555282593,2.12531065940857,-156.212261,20.718443,True
337.4,MA,3.85458326339722,11766.416015625,2183.744140625,0.0778455138206482,1281.68542480469,9.05979442596436,2.14991331100464,-156.205387,20.731704,True
337.6,MA,3.85458326339722,10215.9453125,2248.25854492188,0.0776576101779938,1279.83471679688,7.77497339248657,2.9504246711731,-156.188007,20.717807,True
338.0,MA,9.11541652679443,14767.5029296875,2162.49975585938,0.390513181686401,1142.044921875,-0.436391204595566,3.12011790275574,-156.2455233,20.75846738,True
339.4,MA,9.11541652679443,14707.052734375,2095.51489257812,0.243729770183563,1154.62780761719,-2.840087890625,3.67303681373596,-156.2481667,20.75980556,True
339.5,MA,9.11541652679443,13485.5400390625,2589.36083984375,0.282763540744781,1012.08489990234,2.21726489067078,3.4020574092865,-156.2458333,20.73819444,True
339.6,MA,3.85458326339722,11114.1591796875,2949.97485351562,0.0683469027280807,1036.85095214844,21.9537963867188,4.06988573074341,-156.25675,20.71036111,True
341.7,MA,NA,NA,1921.2044677734373,NA,NA,NA,NA,-156.222311,20.773636,NA
353.0,MA,NA,NA,21.39468765258789,NA,NA,NA,NA,-156.0157,20.7946,NA
355.0,MA,15.1754169464111,996.429504394531,27.8875617980957,0.86741578578949,2176.66552734375,-2.6990053653717,2.01715302467346,-156.017,20.792,True
355.2,MA,14.1107501983643,1494.64501953125,102.357627868652,0.915176689624786,3318.0595703125,2.07420325279236,2.0457124710083,-156.0414,20.7939,True
361.0,MA,11.564582824707,1060.78881835938,9.85503196716309,0.610817492008209,343.377136230469,-3.25665354728699,1.83387517929077,-156.6738405,20.87679494,True
387.6,MA,NA,NA,236.50538635253903,NA,NA,NA,NA,-156.516,20.875,NA
398.0,MA,14.8703336715698,2502.07836914062,32.8159675598145,0.855587840080261,492.755859375,-0.195691511034966,3.14645338058472,-156.41,20.8887,True
432.4,MA,NA,NA,478.4985961914063,NA,NA,NA,NA,-156.315,20.855,NA
434.11,MA,NA,NA,628.746337890625,NA,NA,NA,NA,-156.2948,20.8415,NA
446.0,MA,13.5561666488647,1651.42614746094,202.674652099609,0.902732908725739,3245.873046875,-0.536941528320312,2.36484813690186,-156.2121892,20.89012208,True
